State, Cases_2023
Alabama,36
Alaska,2
Arizona,16
Arkansas,5
California,109
Colorado,32
Connecticut,3239
Delaware,349
District of Columbia,108
Florida,271
Georgia,18
Idaho,11
Illinois,372
Indiana,257
Iowa,212
Kansas,12
Kentucky,120
Louisiana,15
Maine,2942
Maryland,2470
Massachusetts,9715
Michigan,1152
Minnesota,2938
Mississippi,4
Missouri,16
Montana,11
Nebraska,5
Nevada,14
New Hampshire,1573
New Jersey,7224
New Mexico,11
New York,22173
North Carolina,228
North Dakota,15
Ohio,1307
Oklahoma,3
Oregon,61
Pennsylvania,16671
Rhode Island,2852
South Carolina,55
South Dakota,7
Tennessee,50
Texas,27
Utah,16
Vermont,1445
Virginia,1747
Washington,25
West Virginia,3242
Wisconsin,6283
Wyoming,2
US_Total,89468
